author,published_at,updated_at,like_count,text
@yinvirak5256,2023-12-14T05:04:41Z,2023-12-14T05:04:41Z,0,I don&#39;t see Islamists march on the streets  for rohinya courses 😂😂😂😂
@EradigdayaSoundMachine,2023-12-14T04:41:16Z,2023-12-14T04:41:16Z,0,"tell Rohingya immigrants to leave Indonesia, Cox&#39;s Bazar Bangladesh is a place for illegal Rohingya immigrants, not Indonesia"
@ulfiarifah2923,2023-12-14T04:17:49Z,2023-12-14T04:17:49Z,0,"They are not refugees, they are illegal immigrant.."
@rampadvocate3849,2023-12-14T03:57:52Z,2023-12-14T03:57:52Z,0,"Indonesia has sent food for 2 millions of hamass, why moslems refuge only thousands ... It is a hypocrisy"
@fuu8296,2023-12-14T03:47:15Z,2023-12-14T03:47:15Z,0,"People still questioning Indonesian humanity 😂, the top country for charities in the world, for sixth year in a row and still doing it until now. <br>So i asking everyone who question my country humanity &quot;*what do you do for humanity? *&quot;"
@shakilahumairaazzh3812,2023-12-14T03:42:05Z,2023-12-14T03:42:05Z,0,Take back In myanmar... Take back to BIG BOS UNHCR!!!
@d3n1.s,2023-12-14T03:07:54Z,2023-12-14T03:13:40Z,0,UNHCR Bangladesh is a group that sells humans to be sent to Indonesia. You are a mafia by promising Rohinians and Bangladeshis that you will live in luxury and be facilitated by everyone in Indonesia. Are you sure? In our country there are still many who are poor and need help. Go away from our country<br><br>their number is more than 2000. they are illegal Bangladeshi immigrants. why not take them to your country. Do you know what their nature is like in Malaysia? the intimidation of Bangladeshis and Rohinians against us natives. usurp and confiscate our land
@user-lz2sq1eb6n,2023-12-14T02:48:00Z,2023-12-14T02:48:00Z,0,"I stand for aceh, go from my country oh Rohingya"
@andriansulistianto5262,2023-12-14T02:47:26Z,2023-12-14T02:47:26Z,0,Emely bojovix kamu gk usah bicara ham.imigran gelap suka membuat anak..bawa saja etnis rohinya ke country you emely bojovix.
@user-lh7yv2os6n,2023-12-14T02:33:06Z,2023-12-14T02:33:06Z,1,Send them back to whichever country that comments Indonesia is not doing enough. See how their citizen reacts. Illegal immigrants are not refugees. They&#39;re not welcome and have overstayed and overcrossed the welcome. Guests should stay a few days and leave. Not long-term. Long-term is called kos-kos or hotel; you must register and pay accordingly.
@RockWar-pj7ei,2023-12-14T02:23:00Z,2023-12-14T02:23:00Z,1,"They are not refugees,  they illegal immigrant."
@anistuwa4868,2023-12-14T02:01:04Z,2023-12-14T02:01:04Z,0,"they are not Southeast Asian, tell their people in the south to take care of it."
@Asepwaldin,2023-12-14T01:59:36Z,2023-12-14T01:59:36Z,2,Save aceh 💪
@vieyha3375,2023-12-14T01:45:55Z,2023-12-14T01:45:55Z,0,"They are NOT REFUGEE but IMIGRAN, they even pay from banglades camp to indonesia by boat, they have cellphone and UNHCR card from banglades, so we need send back them to where they came from, in indonesia their behavior is not good we provided food aid but they threw them into the sea, because we didn&#39;t allow them to go ashore, and when we accommodated them, they protested about the portions of food they were given even though the portions were the same as Indonesian people eat, they also commit criminal acts in Aceh such as stealing, raping and so on and there are many more bad behaviors of Rohingya in Aceh so that Aceh is already at the limit of patience and doesn&#39;t want to accept them anymore."
@lilofrenchbulldog1744,2023-12-14T01:43:59Z,2023-12-14T01:43:59Z,1,Islam always making trouble
